model,ablation,seed,station,in_domain,n_windows,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
XAI-MeteoFormer,no_revin,2,Dongsi,False,6895,4.177675247192383,8.243890762329102,2.0450146198272705,2.657212495803833,11.77823257446289,15.942465782165527,2.227847099304199,3.1208415031433105,0.6596068739891052,0.9403988718986512
XAI-MeteoFormer,no_revin,2,Guanyuan,False,6895,4.163275241851807,8.227407455444336,2.0240771770477295,2.635911464691162,11.73803424835205,15.910218238830566,2.232121706008911,3.129395008087158,0.6588667035102844,0.9405665397644044
XAI-MeteoFormer,no_revin,2,Gucheng,False,6895,4.137028694152832,8.118379592895508,2.0619521141052246,2.720763683319092,11.460641860961914,15.649806022644045,2.2436163425445557,3.1497817039489746,0.7819011807441711,1.1799044609069824
XAI-MeteoFormer,no_revin,2,Huairou,False,6895,4.104945182800293,8.181208610534668,2.0629663467407227,2.7099785804748535,11.4839448928833,15.804637908935549,2.1994028091430664,3.097412586212158,0.6734654903411865,1.002091407775879
XAI-MeteoFormer,no_revin,2,Nongzhanguan,False,6895,4.180554389953613,8.233968734741211,2.042217254638672,2.6564464569091797,11.790725708007812,15.92166519165039,2.2281057834625244,3.122415542602539,0.6611635684967041,0.9420109987258912
XAI-MeteoFormer,no_revin,2,Shunyi,False,6895,4.051518440246582,7.970655918121338,1.961026072502136,2.575944185256958,11.260930061340332,15.372193336486816,2.2799081802368164,3.1815202236175537,0.704207718372345,1.0312496423721311
XAI-MeteoFormer,no_revin,2,Tiantan,False,6895,4.17196798324585,8.245405197143555,2.0251235961914062,2.6348137855529785,11.777969360351562,15.94896411895752,2.2248404026031494,3.122091770172119,0.6599338054656982,0.9421886205673218
XAI-MeteoFormer,no_revin,2,Wanliu,False,6895,4.150425910949707,8.183040618896484,2.0659122467041016,2.6949622631073,11.700132369995115,15.81826400756836,2.2265536785125732,3.109422445297241,0.6091064810752869,0.83652663230896
XAI-MeteoFormer,no_revin,2,Wanshouxigong,False,6895,4.17580509185791,8.237637519836426,2.035182237625122,2.6486704349517822,11.782221794128418,15.930712699890137,2.226658344268799,3.122121810913086,0.659159779548645,0.940195083618164
XAI-MeteoFormer,no_revin,3,Aotizhongxin,True,6895,4.113217353820801,8.24528980255127,1.970464110374451,2.5646860599517822,11.577861785888672,15.961660385131836,2.234100341796875,3.112126588821411,0.6704416275024414,0.9495657086372375
XAI-MeteoFormer,no_revin,3,Changping,False,6895,4.010600566864014,7.945191383361816,1.9566552639007568,2.590046644210815,10.956491470336914,15.282130241394045,2.4339406490325928,3.351639986038208,0.6953149437904358,1.0093759298324585
XAI-MeteoFormer,no_revin,3,Dingling,False,6895,4.0168867111206055,7.967442512512207,1.996273398399353,2.6383190155029297,10.96155834197998,15.326205253601074,2.413076639175415,3.323831081390381,0.6966395378112793,1.009634017944336
XAI-MeteoFormer,no_revin,3,Dongsi,False,6895,4.1471686363220215,8.329482078552246,1.9695721864700315,2.5623209476470947,11.7037992477417,16.131723403930664,2.2446367740631104,3.1335272789001465,0.6706615686416626,0.9508417248725892
XAI-MeteoFormer,no_revin,3,Guanyuan,False,6895,4.135588645935059,8.312904357910156,1.9661691188812256,2.558722972869873,11.66177463531494,16.097976684570312,2.245412826538086,3.134810447692871,0.6689994931221008,0.9479430913925172
XAI-MeteoFormer,no_revin,3,Gucheng,False,6895,4.079789638519287,8.039767265319824,1.9841723442077637,2.6090826988220215,11.06899356842041,15.457402229309082,2.466823101043701,3.3753604888916016,0.7991678714752197,1.191539645195007
XAI-MeteoFormer,no_revin,3,Huairou,False,6895,4.046680927276611,8.111563682556152,2.008301019668579,2.6454737186431885,11.09532642364502,15.629805564880373,2.3890841007232666,3.2965033054351807,0.694013237953186,1.0166393518447876
XAI-MeteoFormer,no_revin,3,Nongzhanguan,False,6895,4.1422295570373535,8.294559478759766,1.971076726913452,2.563995122909546,11.682883262634276,16.06048011779785,2.2413930892944336,3.127021074295044,0.6735637187957764,0.9526647329330444
XAI-MeteoFormer,no_revin,3,Shunyi,False,6895,3.9851794242858887,7.991236686706543,1.888115406036377,2.502871513366699,11.10422134399414,15.43764877319336,2.231448173522949,3.126549243927002,0.7169347405433655,1.0386508703231812
XAI-MeteoFormer,no_revin,3,Tiantan,False,6895,4.149673938751221,8.344578742980957,1.957942247390747,2.5488805770874023,11.730323791503906,16.166393280029297,2.238569498062134,3.1261584758758545,0.6718619465827942,0.9518682956695556
XAI-MeteoFormer,no_revin,3,Wanliu,False,6895,4.098050594329834,8.113401412963867,2.044055461883545,2.6602320671081543,11.438936233520508,15.667205810546877,2.2908923625946045,3.172269582748413,0.6183192729949951,0.841206967830658
XAI-MeteoFormer,no_revin,3,Wanshouxigong,False,6895,4.155359745025635,8.34984016418457,1.974103569984436,2.568512439727783,11.729079246520996,16.172496795654297,2.246115207672119,3.1346418857574463,0.6721391081809998,0.9520390629768372
XAI-MeteoFormer,no_revin,4,Aotizhongxin,True,6895,4.109862804412842,8.139829635620117,1.969870448112488,2.5926971435546875,11.531360626220703,15.731316566467283,2.263694524765014,3.1480863094329834,0.674528956413269,0.9594438076019288
XAI-MeteoFormer,no_revin,4,Changping,False,6895,4.040810585021973,7.896780967712402,2.029210090637207,2.689918279647827,11.102728843688965,15.188080787658691,2.330861806869507,3.236804962158203,0.7004420757293701,1.0228304862976074
XAI-MeteoFormer,no_revin,4,Dingling,False,6895,4.066016674041748,7.981757640838623,2.0557596683502197,2.719454050064087,11.162928581237791,15.356088638305664,2.3429524898529053,3.2521402835845947,0.7024211883544922,1.025922775268555
XAI-MeteoFormer,no_revin,4,Dongsi,False,6895,4.148168087005615,8.224891662597656,1.9851579666137695,2.6084492206573486,11.663674354553224,15.90199375152588,2.269539594650269,3.161839485168457,0.6743016242980957,0.9595512747764589
XAI-MeteoFormer,no_revin,4,Guanyuan,False,6895,4.128096103668213,8.193907737731934,1.963426113128662,2.5852253437042236,11.602219581604004,15.840312957763672,2.2728474140167236,3.168661117553711,0.6738949418067932,0.9597336053848268
XAI-MeteoFormer,no_revin,4,Gucheng,False,6895,4.0581207275390625,7.950307369232178,1.997054934501648,2.658090829849243,11.038537979125977,15.275307655334473,2.398542642593384,3.3145081996917725,0.7983528971672058,1.2012933492660522
XAI-MeteoFormer,no_revin,4,Huairou,False,6895,4.048499584197998,8.059720039367676,2.0380687713623047,2.696232318878174,11.164968490600586,15.533374786376951,2.2957170009613037,3.196396827697754,0.6952469348907471,1.0314974784851074
XAI-MeteoFormer,no_revin,4,Nongzhanguan,False,6895,4.157032489776611,8.243024826049805,1.9871385097503664,2.611769437789917,11.696118354797363,15.939834594726562,2.2657063007354736,3.1560146808624268,0.6791654825210571,0.9642130732536316
XAI-MeteoFormer,no_revin,4,Shunyi,False,6895,4.041144847869873,8.001904487609863,1.9303745031356812,2.5590548515319824,11.234532356262209,15.440067291259766,2.2780606746673584,3.1763603687286377,0.7216089963912964,1.0431901216506958
XAI-MeteoFormer,no_revin,4,Tiantan,False,6895,4.15415620803833,8.257746696472168,1.9630061388015747,2.585010528564453,11.708444595336914,15.973599433898926,2.268561840057373,3.161423921585083,0.6766137480735779,0.9637756943702698
XAI-MeteoFormer,no_revin,4,Wanliu,False,6895,4.099984645843506,8.091513633728027,2.013343572616577,2.66528844833374,11.479290008544922,15.618714332580566,2.291135549545288,3.1820554733276367,0.6161683797836304,0.8466669321060181
XAI-MeteoFormer,no_revin,4,Wanshouxigong,False,6895,4.143220901489258,8.205158233642578,1.9703359603881836,2.5934367179870605,11.647056579589844,15.861376762390137,2.278599262237549,3.1726040840148926,0.6768918633460999,0.9611788988113404
iTransformer,full,0,Aotizhongxin,True,6895,4.2563982009887695,8.244466781616211,2.0440516471862793,2.6914098262786865,11.528788566589355,15.785072326660156,2.7379276752471924,3.8036491870880127,0.7148271203041077,1.0024373531341553
