dataset,loss,channel,baseline,mean_diff,DM,p_raw,lag,p_holm
beijing_aotizhongxin,sq,WS,TFT,-0.06220937301430082,-4.768769217458,1.8916220918541171e-06,10,9.458110459270586e-06
beijing_aotizhongxin,sq,agg,TimesNet,-0.9481192898974388,-0.6581705994312262,0.5104504918117847,10,1.0
beijing_aotizhongxin,sq,T,TimesNet,-5.3700433187342105,-14.676465407992612,0.0,10,0.0
beijing_aotizhongxin,sq,RH,TimesNet,5.218395501324872,0.9276246324474859,0.3536347900313732,10,1.0
beijing_aotizhongxin,sq,P,TimesNet,-3.5780740134875133,-7.957831343295927,1.9984014443252818e-15,10,7.993605777301127e-15
beijing_aotizhongxin,sq,WS,TimesNet,-0.06275532869290021,-4.329028460977726,1.5188692488399269e-05,10,3.0377384976798538e-05
beijing_aotizhongxin,sq,agg,Transformer,-12.728658608400972,-7.685807925106636,1.7319479184152442e-14,10,1.3855583347321954e-13
beijing_aotizhongxin,sq,T,Transformer,-13.265147246335802,-20.570587322412205,0.0,10,0.0
beijing_aotizhongxin,sq,RH,Transformer,-31.4673167073088,-4.813880357339021,1.5118118594781293e-06,10,1.0582683016346905e-05
beijing_aotizhongxin,sq,P,Transformer,-6.122312466184153,-10.526400903122637,0.0,10,0.0
beijing_aotizhongxin,sq,WS,Transformer,-0.05985801377512805,-4.443758369863711,8.978340947374264e-06,10,2.693502284212279e-05
beijing_aotizhongxin,sq,agg,iTransformer,-0.8227592815976259,-0.5207272263191293,0.6025735286151805,10,1.0
beijing_aotizhongxin,sq,T,iTransformer,-0.2814296622917243,-1.5946593264881177,0.11083427761641129,10,0.22166855523282258
beijing_aotizhongxin,sq,RH,iTransformer,1.6544268370313047,0.2676384910690633,0.7889856062953331,10,1.0
beijing_aotizhongxin,sq,P,iTransformer,-4.5488792167856245,-8.308067175639211,0.0,10,0.0
beijing_aotizhongxin,sq,WS,iTransformer,-0.11515508434446146,-6.823777410247327,9.621636820611457e-12,10,8.659473138550311e-11
