model,dataset,ablation,seed,variant,block_len,n_windows,test_stride,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
TimesNet,jena,full,3,B_start,16,2782,5,3.408769369125366,5.6133551597595215,2.5345458984375,3.255524158477783,7.614760875701904,10.027992248535156,2.583810567855835,3.640043258666992,0.901958703994751,1.276732325553894
TimesNet,jena,full,4,none,16,2782,5,3.3300774097442627,5.478079319000244,2.51054310798645,3.167769193649292,7.437577247619629,9.788487434387209,2.500195026397705,3.5470879077911377,0.8719935417175293,1.2674095630645752
TimesNet,jena,full,4,A_end,16,2782,5,4.832087516784668,7.570868015289307,3.51037859916687,4.459889888763428,10.149947166442873,13.042667388916016,4.60222864151001,6.079137325286865,1.06579327583313,1.5213245153427124
TimesNet,jena,full,4,B_start,16,2782,5,3.45288610458374,5.680866718292236,2.617633581161499,3.3193349838256836,7.79499626159668,10.185218811035156,2.5108749866485596,3.559760808944702,0.8880384564399719,1.28857421875
Transformer,jena,full,0,none,16,2782,5,3.482887029647827,5.703875541687012,2.826927900314331,3.5565006732940674,7.551199913024902,10.115479469299316,2.6850104331970215,3.6972815990448,0.8684107065200806,1.2228217124938965
Transformer,jena,full,0,A_end,16,2782,5,5.926512241363525,9.52027702331543,4.4267377853393555,5.495193958282471,13.718048095703123,17.234163284301758,4.399035453796387,5.738336086273193,1.162231683731079,1.5494186878204346
Transformer,jena,full,0,B_start,16,2782,5,3.4581825733184814,5.647960186004639,2.8509068489074707,3.5611400604248047,7.444763660430908,9.99675464630127,2.6701998710632324,3.672731399536133,0.8668621182441711,1.2214876413345337
Transformer,jena,full,1,none,16,2782,5,3.3638248443603516,5.55211877822876,2.6381452083587646,3.3704824447631836,7.358242034912109,9.867627143859863,2.5993072986602783,3.618188381195069,0.8596048951148987,1.2176154851913452
Transformer,jena,full,1,A_end,16,2782,5,6.089043140411377,10.01490592956543,4.499618053436279,5.694244861602783,14.250932693481444,18.233245849609375,4.450729846954346,5.81548547744751,1.1548941135406494,1.5804120302200315
Transformer,jena,full,1,B_start,16,2782,5,3.358317613601685,5.53053617477417,2.623209238052368,3.352549314498902,7.3320393562316895,9.825701713562012,2.620980739593506,3.616074800491333,0.8570428490638733,1.2195605039596558
